"date_time","year","month","day","hour","country","site_name","lat","lon","sea_level","qc_flag","use_flag","file_name"
2019-01-04 06:00:00.000000+0000,2019,1,4,6,"IRL","Rosslare",52.2546,-6.334861,0.336,0,1,"rosslare-ros-irl-mi_c"
2019-01-04 10:25:00.000000+0000,2019,1,4,10,"IRL","Rosslare",52.2546,-6.334861,-0.773,0,1,"rosslare-ros-irl-mi_c"
2019-01-04 15:35:00.000000+0000,2019,1,4,15,"IRL","Rosslare",52.2546,-6.334861,0.314,0,1,"rosslare-ros-irl-mi_c"
2019-01-04 15:40:00.000000+0000,2019,1,4,15,"IRL","Rosslare",52.2546,-6.334861,0.331,0,1,"rosslare-ros-irl-mi_c"
2019-01-04 15:50:00.000000+0000,2019,1,4,15,"IRL","Rosslare",52.2546,-6.334861,0.377,0,1,"rosslare-ros-irl-mi_c"
2019-01-04 20:15:00.000000+0000,2019,1,4,20,"IRL","Rosslare",52.2546,-6.334861,-0.233,0,1,"rosslare-ros-irl-mi_c"
2019-01-04 21:55:00.000000+0000,2019,1,4,21,"IRL","Rosslare",52.2546,-6.334861,-0.759,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 03:55:00.000000+0000,2019,1,5,3,"IRL","Rosslare",52.2546,-6.334861,0.345,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 04:35:00.000000+0000,2019,1,5,4,"IRL","Rosslare",52.2546,-6.334861,0.419,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 07:15:00.000000+0000,2019,1,5,7,"IRL","Rosslare",52.2546,-6.334861,0.366,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 09:30:00.000000+0000,2019,1,5,9,"IRL","Rosslare",52.2546,-6.334861,-0.483,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 09:35:00.000000+0000,2019,1,5,9,"IRL","Rosslare",52.2546,-6.334861,-0.497,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 18:30:00.000000+0000,2019,1,5,18,"IRL","Rosslare",52.2546,-6.334861,0.511,0,1,"rosslare-ros-irl-mi_c"
2019-01-05 19:55:00.000000+0000,2019,1,5,19,"IRL","Rosslare",52.2546,-6.334861,0.147,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 04:15:00.000000+0000,2019,1,6,4,"IRL","Rosslare",52.2546,-6.334861,0.3,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 05:10:00.000000+0000,2019,1,6,5,"IRL","Rosslare",52.2546,-6.334861,0.462,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 05:45:00.000000+0000,2019,1,6,5,"IRL","Rosslare",52.2546,-6.334861,0.539,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 09:35:00.000000+0000,2019,1,6,9,"IRL","Rosslare",52.2546,-6.334861,-0.302,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 09:40:00.000000+0000,2019,1,6,9,"IRL","Rosslare",52.2546,-6.334861,-0.327,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 09:55:00.000000+0000,2019,1,6,9,"IRL","Rosslare",52.2546,-6.334861,-0.455,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 10:10:00.000000+0000,2019,1,6,10,"IRL","Rosslare",52.2546,-6.334861,-0.531,0,1,"rosslare-ros-irl-mi_c"
2019-01-06 11:15:00.000000+0000,2019,1,6,11,"IRL","Rosslare",52.2546,-6.334861,-0.763,0,1,"rosslare-ros-irl-mi_c"
